sales_order_id,order_date,customer_name,finished_product,quantity_ordered,required_delivery_date,status
SO-001,2025-01-01,Sime Darby Property,Marine Blue Coating,495,2025-01-06,Delivered
SO-002,2025-01-01,Maybank Facilities Mgmt,Premium White Paint 1L,308,2025-01-21,Delivered
SO-003,2025-01-01,IJM Corporation,Industrial Grey Primer,381,2025-01-13,Open
SO-004,2025-01-01,Sunway Building Materials,Premium White Paint 1L,188,2025-01-09,Delivered
SO-005,2025-01-02,SP Setia Hardware,Anti-Rust Coating,560,2025-01-23,Delivered
SO-006,2025-01-03,SP Setia Hardware,Protective Roof Paint,108,2025-01-11,Delivered
SO-007,2025-01-03,Top Glove Facilities,Premium White Paint 1L,68,2025-01-14,Open
SO-008,2025-01-04,Metro Paint Supplies,Marine Blue Coating,201,2025-01-26,Delivered
SO-009,2025-01-04,Sunway Building Materials,Wood Stain Brown,78,2025-01-21,Delivered
SO-010,2025-01-05,BuildRight Hardware,Protective Roof Paint,69,2025-01-18,Delivered
SO-011,2025-01-05,Sime Darby Property,Anti-Rust Coating,394,2025-01-11,Delivered
SO-012,2025-01-05,Gamuda Trading,Wood Stain Brown,167,2025-01-15,Delivered
SO-013,2025-01-07,SP Setia Hardware,Anti-Rust Coating,721,2025-01-22,Open
SO-014,2025-01-07,Gamuda Trading,Marine Blue Coating,257,2025-01-15,Delivered
SO-015,2025-01-07,Sunway Building Materials,Clear Varnish,722,2025-01-30,Open
SO-016,2025-01-07,Nippon Construction Sdn Bhd,Premium White Paint 4L,695,2025-01-26,Delivered
SO-017,2025-01-08,BuildRight Hardware,Industrial Grey Primer,302,2025-02-01,Delivered
SO-018,2025-01-08,Pavilion Retail Supplies,Protective Roof Paint,745,2025-01-15,Open
SO-019,2025-01-09,Top Glove Facilities,Wood Stain Brown,427,2025-01-23,Open
SO-020,2025-01-10,Kerjaya Bina Bhd,Premium White Paint 4L,107,2025-02-05,Delivered
SO-021,2025-01-11,YTL Hardware Centre,Anti-Rust Coating,202,2025-01-22,Open
SO-022,2025-01-11,Metro Paint Supplies,Epoxy Floor Coating,241,2025-01-21,Delivered
SO-023,2025-01-11,Kerjaya Bina Bhd,Anti-Rust Coating,120,2025-01-27,Delivered
SO-024,2025-01-11,Pavilion Retail Supplies,Premium White Paint 4L,236,2025-01-22,Open
SO-025,2025-01-12,Sunway Building Materials,Anti-Rust Coating,127,2025-01-29,Delivered
SO-026,2025-01-12,Sunway Building Materials,Protective Roof Paint,407,2025-01-28,Open
SO-027,2025-01-12,UEM Sunrise Bhd,Anti-Rust Coating,273,2025-01-29,Delivered
