supplier_id,supplier_name,country,reliability_rating
SUP001,ChemBase Sdn Bhd,Malaysia,High
SUP002,SinoCoat Materials Co,China,Medium
SUP003,Resin Tech Asia,Singapore,High
SUP004,PackPro Solutions,Malaysia,High
SUP005,Solvent King Pte Ltd,Singapore,Medium
SUP006,Global Pigments Ltd,India,Medium
SUP007,EuroChem Imports,Germany,High
SUP008,Apex Packaging Sdn Bhd,Malaysia,High
SUP009,Pacific Solvents Inc,Thailand,Low
SUP010,Polymer Source Ltd,South Korea,Medium
SUP011,United Advanced Materials Ltd,Japan,Medium
SUP012,United Industries Ltd,Japan,High
SUP013,Matrix Coatings Corp,Germany,Low
SUP014,Pinnacle Solvents Pte Ltd,Germany,Medium
SUP015,Beacon Synthetics Sdn Bhd,Malaysia,Medium
SUP016,Quantum Source Corp,Singapore,High
SUP017,Imperial Coatings Inc,Singapore,Medium
SUP018,Inter Pigments Pte Ltd,India,Low
SUP019,Elite Packaging Pte Ltd,Germany,High
SUP020,Starlight Advanced Materials Co,South Korea,Medium
SUP021,Matrix Advanced Materials Ltd,Malaysia,High
SUP022,Matrix Polymers Pte Ltd,Thailand,High
SUP023,Apex Synthetics Pte Ltd,Indonesia,Medium
SUP024,Elite Source Corp,South Korea,Medium
SUP025,Matrix Source Inc,China,Medium
SUP026,Centurion Organics Sdn Bhd,Malaysia,High
SUP027,Inter Chem Co,Japan,High
SUP028,Dynamic Supply Ltd,Singapore,Medium
SUP029,Horizon Materials Pte Ltd,Vietnam,Low
SUP030,Inter Pack Co,China,High
SUP031,Sigma Resins Ltd,Japan,High
SUP032,Nexus Chem Ltd,Germany,Low
SUP033,Nexus Chem Inc,Indonesia,High
SUP034,Elite Pigments Ltd,Vietnam,Medium
SUP035,Beacon Materials Co,Singapore,High
SUP036,United Supply Co,India,Low
SUP037,Sigma Pigments Inc,Taiwan,High
SUP038,Vortex Pigments Ltd,Singapore,High
SUP039,Global Materials Inc,Vietnam,High
SUP040,Starlight Synthetics Co,India,Medium
SUP041,Dynamic Pigments Corp,Malaysia,High
SUP042,Core Organics Sdn Bhd,Singapore,High
SUP043,Matrix Packaging Corp,Germany,Medium
SUP044,Quantum Synthetics Ltd,Thailand,High
SUP045,Centurion Packaging Co,Malaysia,High
SUP046,Beacon Synthetics Corp,South Korea,High
SUP047,Titan Resins Sdn Bhd,Japan,High
SUP048,Titan Chemicals Pte Ltd,Thailand,High
SUP049,Alpha Chem Ltd,China,Medium
SUP050,Beacon Solvents Co,South Korea,Medium
SUP051,Core Supply Corp,Japan,High
SUP052,Global Solvents Corp,Taiwan,Medium
SUP053,Infinity Chem Sdn Bhd,Taiwan,High
SUP054,Nexus Polymers Ltd,Indonesia,Medium
SUP055,National Pigments Co,Vietnam,Medium
SUP056,United Pack Sdn Bhd,Taiwan,High
SUP057,Summit Materials Ltd,South Korea,Medium
SUP058,Beacon Source Sdn Bhd,India,Medium
SUP059,Global Chem Corp,Germany,Low
SUP060,Core Packaging Sdn Bhd,Singapore,Medium
SUP061,Infinity Coatings Co,Japan,High
SUP062,Alpha Industries Sdn Bhd,Japan,Medium
SUP063,Summit Coatings Sdn Bhd,China,High
SUP064,Zenith Chemicals Corp,Singapore,Medium
SUP065,Inter Polymers Sdn Bhd,India,High
SUP066,Delta Source Co,Japan,Medium
SUP067,United Coatings Sdn Bhd,Malaysia,Medium
SUP068,Core Solutions Corp,Thailand,Low
SUP069,National Pack Ltd,Taiwan,Medium
SUP070,Alpha Advanced Materials Sdn Bhd,Germany,High
SUP071,Infinity Polymers Ltd,Malaysia,High
SUP072,Pinnacle Solutions Inc,Thailand,High
SUP073,Inter Resins Inc,Malaysia,Medium
SUP074,Nexus Chem Co,Germany,High
SUP075,Alpha Coatings Pte Ltd,Vietnam,High
SUP076,Omega Coatings Corp,Japan,High
